jqr,esp
"Jumaqill akanh tashkush jalruyma","A ustedes señores, solicito admitir la presente"
"Siwil kasarat""a siliwrnushp""t"" akta","Acta de Celebración de Matrimonio Civil"
"Jiwat jaqit"" akta","Acta de Defunción"
"Kasarat"" akta","Acta de Matrimonio"
"Yurit qayllat"" akta","Acta de Nacimiento"
"Atxarshut akta","Acta deteriorada"
"Silist akta","Actas celestes"
"Apyat akta","Actas emitidas"
"Jiwyat akta","Actas inutilizadas"
"Wirt akta","Actas verdes"
"Apaykt""a","Adjunto"
"Qillqw irt""apkt""a","Adjunto documentos"
"Qayll atupta","Adopciones"
"K""uwarmashn qillqt'ata","Anotaciones marginales"
"Kikip"" qillqt'anushtaki","Anotaciones textuales"
"Jumruw ak""am sal ujtkima","Ante usted con respeto me presento y expongo"
"Naq jumruw ujtkima, inchjama","Ante usted, con el debido respeto me presento en mi calidad de…."
"Wata","Año"
"Artikulu","Artículo"
"May ullp"" artikulu: yirit"" jaq inskriwishit""a","Artículo único: inscribir el nacimiento de la persona"
"Tinhqkatskama","Atentamente"
"Intirkulturalit"" amur nurnushu","Buena práctica intercultural"
"Rijistral akt jiwyat""a","Cancelación de actas registrales"
"Kargp""a","Cargo (de autoridad)"
"Kasraykir jaqi","Celebrante (de matrimonio)"
"Inkshinush uta (ujtxitxa)","Centro de salud – posta"
"Ujtxitx marka / intijin kumunirari / kampisin kumunirari","Centro Poblado / Comunidad Nativa o Campesina"
"Siwtati","Ciudad"
"Inkshinush uta - Klinika","Clínica"
"Jaq Illt'iyishnushptak Qillqa (JIQ)","Código Único de Identificación (CUI)"
"Arqat"" illt""apisna","Considerando (lo anteriormente dicho)"
"Manhqankir illt""apisna","Considerando (los puntos a continuación)"
"Kuntininti","Continente"
"Kasarkiri","Contrayente"
"Jaynu-warmi","Cónyuge"
"Sirtip""ikat kupya","Copia certificada"
"Sirtijikat kuriwa","Correo certificado"
"Jakat"" jiwkam istaristik tawma, ukat"" mayar jakpayat istatu siwili","Cuadro Estadístico de Hechos Vitales y Actos Modificatorios del Estado Civil"
"JIQ","CUI"
"Jaqit""a","Datos"
"Kasarkirkunat""a","Datos de los cónyuges"
"Jiwatjaqit""a","Datos del fallecido"
"Nillaps tatp""a, upaw arshki, 28720 liyi","Declaración de Presunto Progenitor, Ley 28720"
"Kunsintimintut"" juchantzk""at arshu","Declaración Jurada de Consentimiento"
"Jaqn jakkatp""t"" juchantzk""at arshu","Declaración Jurada de Existencia"
"Ish inskriwatat"" juchantzk""at arshu","Declaración Jurada de No Inscripción"
"Jaysat"" utkatp""t"" juchantzk""at arshu rijistral inskripsyunna","Declaración Jurada de Preexistencia de Inscripción Registral"
"Qaylln tatp""txashi juchantzk""at arshu","Declaración Jurada de Presunto Progenitor"
"Ujtxitx qayllsan yurit""pt""w juchantzk""at arshktna, upaq isharw inskriwaskitxi.","Declaramos bajo juramento que el nacimiento de nuestro hijo/a menor de edad no ha sido inscrito."
"Qillqt'iykiri","Declarante"
"Juchantzk""ataw arshkt""a - arshktna","Declaro(amos) bajo juramento"
"Jiwa","Defunción"
"Jiwatkuna","Defunciones"
"Tipartamintu","Departamento"
"Nimaj tipartamintu","Departamento de Lima"
"Matx munkipanw jayptayaski","Desaparición forzada"
"Uru","Día"
"Qawis utp""a","Dirección"
"Jaqt""apqat akta nurishp""a","Disponer la reposición del acta"
"Tistritu","Distrito"
"Mark tistritu","Distrito de Tupe"
"Tiwursyu - kasar wijchishi","Divorcio o disolución del vínculo matrimonial"
"Illt'iyshinushptak tukumintu","Documento de identidad"
"Illt'iyshinushp""tak Piku Markat"" tukumintu","Documento Nacional de identidad"
"Akanw jakki","Domiciliado"
"Uta","Domicilio"
"Akanw akishq jakki","Domicilio actual"
"Karma","Don"
"Warmi","Doña"
"watp""a","Edad"
"Itiktu","Edicto"
"Akq upaw nurawi","Efectuada por (él, ella)"
"Qillqt'iriq chiqawa ak kupyaq urijinalp""t""qa sakiwa, istatu siwil rijistr utankiwa, ak munisipalitattna","El que suscribe certifica que la presente es copia fiel del original que se encuentra en el Archivo de la Oficina de Registros del Estado Civil de esta Municipalidad"
"Intirnitip"" apaya","E-mail (correo electrónico)"
"Mark tistrit munisipalitatna, Yawyus pruwinhsyna, Nimaj tipartamintna","En la Municipalidad de Tupe, Provincia de Yauyos, Departamento de Lima"
"Imprintn qillqt'ma","Escriba con letra imprenta"
"Istatu siwili","Estado civil"
"Qillqa","Expediente"
"Matxpatzna","Extemporáneos"
"Jaymarkat""a","Extranjero"
"Ñanqañ ityulujiya","Falsedad ideológica"
"Uru - Patza","Fecha"
"Kasar urp""a","Fecha de celebración"
"Jiwat urp""a","Fecha de fallecimiento"
"Yurit urp""a","Fecha de nacimiento"
"Jakat"" jiwkatp""kam uru","Fecha de ocurrencia del hecho vital"
"Rijistrkipn uru","Fecha de registro"
"Shutxayt''apa","Firma"
"Qillqt'iykirn shutxayt""app""a","Firma del declarante"
"Illt'kirn shutxayt""app""a","Firma del reconocente"
"Likalisat shutxayt""apa","Firma legalizada"
"Rijistrkirn shutxayt""app""a sillp a""","Firma y sello del registrador civil"
"May p""urmatunkiwa, ishaw p""urmatpankitxi","Formato distinto al usualmente utilizado"
"Ish illt'at p""urmatu","Formato no oficial"
"Illt'at p""urmatu","Formato oficial"
"Rijistrut"" qillqt'iri nur qallyanushptaki","Habilitación del registrador civil"
"Karma","Hombre"
"Qusura","Hora"
"Uspitalna","Hospital"
"Illt'kirn wayllp""a","Huella del reconocente"
"Illt'iyishkt""a","Identificado"
"Wayllp""a","Impresión dactilar"
"Kup ampar intisi","Índice derecho"
"Inskriwa","Inscripción"
"Jaymarkn yurit qayll inskriwa, piruwat"" jaqna - 29462 liyi","Inscripción de hijo de peruano nacido en el exterior - Ley 29462"
"Ujtxitx qayllpan inskripsyuna","Inscripción de su menor hijo (a)"
"Matx patzn yurit"" qayllat"" inskriwa","Inscripción extemporánea de nacimiento"
"Mamaq «amruwa» sashuw qaylln tatp"" illt'ipanq saki","Interviene en señal de conformidad con el reconocimiento de filiación"
"Istatu siwil rijistr ut jip""i","Jefe de la Oficina de Registro del Estado Civil"
"Jutisyali","Judicial"
"Liyi","Ley"
"Nimaja","Lima"
"Qaminas yuriwi","Lugar de nacimiento"
"Qawna","Lugar de ocurrencia"
"Mama","Madre"
"Kasara - kasarkuna","Matrimonio(s)"
"Ajtz'jaqi","Mayor de edad"
"Qaylljaqi","Menor de edad"
"qayllaw ñimkuski saki","Menor declarado en abandono"
"Pajshi","Mes"
"Nillaps jiwaski","Muerte presunta"
"Laq jiw aki","Muerte violenta"
"Warmi","Mujer"
"Munisipalitati","Municipalidad"
"Mark munisipalitati","Municipalidad de Tupe"
"Jakkir yurita","Nacido vivo"
"Yuri - yuritkuna","Nacimiento(s)"
"Qawit"" jaqisa","Nacionalidad"
"Ishaw qachwir rijistru siwil utanps rijistraskitxi","No se encuentra registrado en ninguna Oficina de Registro de Estado Civil"
"Itiktup"" atxima","Notificación por edicto"
"Machaq akta, 29032 liyi (illt'anushu/tatn jutisyal arshp""a)","Nueva acta, Ley 29032 (reconocimiento/declaración judicial de paternidad)"
"Kasar jiwaya","Nulidad de matrimonio"
"Siryn numirp''a","Número de serie"
"Aktat"" illt""apata","Observación(es) del acta"
"Illisn jaqt""apnushtaki","Observaciones"
"Istatu siwil rijistr uta","Oficina de Registros de Estado Civil"
"Rijistru siwil uta","Oficina Registral"
"Rijistru siwil inknush utna","Oficina Registral Auxiliar"
"Reniec rijistr uta","Oficina Registral Reniec"
"Apsap""apsap"" nurishkatp""a","Ordinario"
"Yaqp""a","Otros"
"Tata","Padre"
"Qaylln tatp""qash mamp""txi","Padre o madre del titular menor de edad"
"Pasapurti","Pasaporte"
"Upna","Perteneciente a (él o ella)"
"Piruwat""a","Peruana"
"Akap""w juchantzk""at arshktna shutx ayt""apas ayt""apktna … utkatp""t""a","Por medio del presente declaramos bajo juramento la existencia de…"
"Uk""maqa: jumaqil akanh tashkush, liyn sakatp""jama tashkma","Por tanto le solicito admitir la presente solicitud por ser de justicia."
"Uk""mawpanqa:","Por tanto:"
"Shutxi","Prenombres"
"Awant apillitu","Primer apellido"
"Prujisyuna","Profesión"
"Pruwinhsya","Provincia"
"Yawyus pruwinhsya","Provincia de Yauyos"
"Ak rijistru siwil archiwunq jarwaqki","Que queda archivado en esta oficina"
"Upaq ….. jakki","Quien domicilia en ………"
"Upaq yurit aktanw inskriwaski. Akt nº. …..","Quien obra inscrito en el acta de nacimiento nº. ….."
"Rikunstitusyuna Qaylljaq akta, inskriwaskankaswa JIQwish aktna","Reconstitución de acta de menor cuya inscripción se hizo en un acta sin CUI"
"Rikunstitusykuna","Reconstituciones"
"Atministratiw nurqanush yurit akta","Rectificación administrativa de nacimiento"
"Amur nurqanushu","Rectificaciones"
"……… shutxp""shqaw rijistraski","Registrada a nombre de…….."
"Qillqt'amay rijistrata","Registrada en blanco"
"Rijistrut"" qillqt'iri","Registrador civil"
"Qillqt'ishp""a, yatxyishp""a, liyn sakatp""jama","Regístrese y notifíquese conforme a ley"
"Jaqarna kastillann siwil rijistru: renieciq jaqarunw qillqt'ani","Registro Civil Bilingüe: el Reniec al rescate de la lengua jaqaru"
"Rijistrut"" qillqt'irn shutxayt""ap rijistrp""a","Registro de firma del registrador civil"
"Piru Markat"" Jaq Illt'aynushtak Rijistru - Istatu Siwili","Registro Nacional de Identificación y Estado Civil"
"Tramitnushu","Regularizaciones"
"Rijistral akt jaqt""apqa","Reposición de acta registral"
"Jaqt""apqanushu - 29312 Liyi","Reposición- Ley n°. 29312"
"Liysaq sayt'kiri","Representante legal"
"Piru Marka","República del Perú"
"Rijistral risulusyuna","Resolución registral"
"(Qillqa) Pantat nurqa","Salvar"
"Upatxash tatp""a, mamp""a, uk""w arshktna.","Se declara como presunto progenitor(a) a don (ña)"
"Jaqt""apq aktat"" majchiq nurshinushp""wa","Se declara procedente la solicitud sobre reposición del acta"
"Upaq ukruw jakatawi","Se ha presentado el/la ciudadana"
"Intirisatq atximktanwa, 21 artikulu kutiku siwiln sakatp""jama","Se notifica al interesado para los efectos del artículo 21º del Código Civil"
"Ancxacx alshishkir piryutikn puwlikishp""a","Se publique en el diario de mayor circulación"
"Ak""w jaqshushki","Se resuelve"
"Yurit qayllan inskripsyunap""w majichktna","Se solicita la inscripción del nacimiento"
"Paj apillitu","Segundo apellido"
"Rijistrut"" qillqt'iykirn shutxayt""app""a","Sello del registrador"
"Juma, istatu siwil rijistr utat""a, Mark munisipalitatit""a","Señor jefe de la Oficina de Registros de Estado Civil de la Municipalidad Distrital de Tupe"
"Karmatxi – warmitxi","Sexo"
"Qillqt'iykiri","Solicitante (de un registro)"
"Majichkiri","Solicitante (solicita algo)"
"Majichi: qayllnhan illt'ap""w majichkt""a","Solicito: reconocimiento"
"Atministratiwn rijistral akt jiway majichi","Solicitud de cancelación administrativa de acta registral"
"Uru majichi","Solicitud de fecha"
"Inskriwat"" majichi","Solicitud de inscripción"
"Rijistral akt mayat""nurq majichi","Solicitud de reconstitución de acta registral"
"Rijistral akt jaqt""apq majichi","Solicitud de reposición de acta registral"
"Mayark""a","Supletorio"
"Tilip""unu","Teléfonos"
"(Qillqa) Ish amruwkatap"" qajcxqajcxara","Testar"
"Tistiku","Testigo"
"Jaqn shutxp""a (aktna)","Titular (del acta)"
"Ukp""a","Totales"
"Jamastak anqapn nurqata","Totalmente enmendada"
"Marka","Tupe"
"Qayll illkiri","Tutor o curador del titular"
"Qusp""asa","Vínculo"
"(Awantankir qillqa) Illt""apisna","Visto (los documentos anteriores)"
"Awant yurit aktat"" sirtip""ikat kupyq qillyawishchaw yaknushp""a, liyin sakatp""jama","Y expedirle gratuitamente la primera copia certificada de su acta de nacimiento, conforme lo dispone la ley"
"Jumw majichkima, ………. rijistral akt jiwayma","Y solicito tenga a bien cancelar el acta registral de……."
"Jumw majichkima, ………..rijistral akt nurqma","Y solicito tenga a bien reconstituir el acta registral de………"
"Yawyu","Yauyos"
"Kantu","Canto"
"Jaqar yatxiwtna","Aprendimos Jaqaru"
"Jaqarsq yatxiwtanwa","Nuestro Jaqaru aprendimos"
"ak markasna","en este nuestro pueblo."
"Martha Hardmanhwa yatxchiwushtu","Martha Hardman nos enseñó."
"Akishq jiwsaq qayllasw","Ahora nosotros tenemos que"
"yatxchinushu","enseñar a nuestras hijas/hijos"
"Jilatxi Martha Hardman","Gracias, Martha Hardman"
"jumaw yatxchiwushta","nos enseñaste."
"Jaqars mujsawa","Nuestro Jaqaru es dulce,"
"Apsach ujtq”amata acx","Mañana no más vas a"
"yatxnushtaki","volver para enseñar más."
"Saynhanq sayt’ki","Cuando me paro se paro"
"Wasnhanq waski.","Si camino también camina"
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq junhq’awa.","Esa es mi sombra."
"Amur ujtxitxawt”wa","Soy buena chiquitqa"
"Jaqkunaq illarqaykutu,","La gente me miran"
"Ish illtupanq jiwkt”wa.","Cuando no me ven, me muero."
"Ukaq intiwa.","Ese es sol."
"May lluqalluña","Un muchachito"
"Tz’iraraytz’irara","Muy negro"
"Wallqurt’ata","Con banda blanca en el cuello"
"Janchich sijcx’ki.","Destroza carne"
"Ukaq kuntriwa.","Ese es condor."
"Jall purpanqa","Cuando llega la lluvia"
"Ancx’acx’ jatzki","Canta bastante"
"Ukatq saltnaqki","Luego salta continuamente."
"K”uwar akaru","¿Que cosa es eso?"
"Quwas uka.","Adivina."
"Musma.","Piense."
"Ukaq cxuqyawa.","Eso es sorsal"
"May tz’akshut","Un escuálido"
