jqr,esp

"Kantu","Canto"
"Jaqar yatxiwtna","Aprendimos Jaqaru"
"Jaqarsq yatxiwtanwa","Nuestro Jaqaru aprendimos"
"ak markasna","en este nuestro pueblo."
"Martha Hardmanhwa yatxchiwushtu","Martha Hardman nos enseñó."
"Akishq jiwsaq qayllasw","Ahora nosotros tenemos que"
"yatxchinushu","enseñar a nuestras hijas/hijos"
"Jilatxi Martha Hardman","Gracias, Martha Hardman"
"jumaw yatxchiwushta","nos enseñaste."
"Jaqars mujsawa","Nuestro Jaqaru es dulce,"
"Apsach ujtq”amata acx","Mañana no más vas a"
"yatxnushtaki","volver para enseñar más."

"Saynhanq sayt’ki","Cuando me paro se paro"
"Wasnhanq waski.","Si camino también camina"
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq junhq’awa.","Esa es mi sombra."

"Amur ujtxitxawt”wa","Soy buena chiquitqa"
"Jaqkunaq illarqaykutu,","La gente me miran"
"Ish illtupanq jiwkt”wa.","Cuando no me ven, me muero."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq intiwa.","Ese es sol."

"May lluqalluña","Un muchachito"
"Tz’iraraytz’irara","Muy negro"
"Wallqurt’ata","Con banda blanca en el cuello"
"Janchich sijcx’ki.","Destroza carne"
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq kuntriwa.","Ese es condor."

"Jall purpanqa","Cuando llega la lluvia"
"Ancx’acx’ jatzki","Canta bastante"
"Ukatq saltnaqki","Luego salta continuamente."
"K”uwar akaru","¿Que cosa es eso?"
"Quwas uka.","Adivina."
"Musma.","Piense."
"Ukaq cxuqyawa.","Eso es sorsal"

"May tz’akshut","Un escuálido"
"Ch’araw utki","Caballo existe"
"Uk”ap” qiwja","Todo pasto"
"Palshki.","Consume."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq jusawa.","Esa es la hoz."

"May wallmichiw utki","Hay una muchacha"
"Jayrki jayrki","Ella baila y bailando"
"japiwt’ki.","Se empreña."
"Quwas uka.","¿Que cosa es eso? "
"Musma.","Adivina."
"Ukaq qapuwa.","Esa es la rueca."

"May apak utki","Hay un vieja"
"Najraps anhqankiri","Su lengua está afuera"
"Chanhqpanqa","Cuando golpea"
"Jaqkuna ujtarqayki.","La gente viene."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Kampnawa.","Esa es Campana."

"May wallmichuña","Una chiquita"
"Janhq’uyjanhq’u","Muy muy blanca"
"Ujtki ujtki","Se viene y viene"
"Jatz jatzarki.","Derrama lágrimas."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq rikisunhawa.","Ese es requezón."

"May lluqalluñaq","Un muchachito"
"Janhq’uyjanhq’u","Muy blanco"
"Jatzkipatx tukshki.","Se acaba llorando."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq wilawa.","Esa es una vela."

"May wallmichuña","Una muchachita"
"Utap apki","Carga su casa y"
"T”akip” nurki.","Hace su camino."
"Quwas uka.","¿Que cosa es eso?"
"Musma.","Adivina."
"Ukaq naktawa.","Ese es caracol baboso."
