jqr,esp,gram_cat
achakshu,envejecer (varón o animal macho),verbo
ach’kata,arrojar granos o tierra,verbo
ach’kha,dar granos como regalo o retribución,verbo
ach’pta,coger granos con la mano; recoger granos del suelo,verbo
ach’qi,tostar (granos),verbo
ach’qpta,tostar granos en cantidad,verbo
ach’qt’a,terminar de tostar,verbo
ach’thapa,"rendir homenaje a la vaca (se enciende fogata en el corral, se echa al fuego el sebo de llama (",verbo
atswaqa,"dar un mordisco; dar un mordisquito (probando alimento); ""morder"" (la puerta al vestido, etc.). **atsha.** s. pulmón. (Con",verbo
ats’ikshu,"enfriarse; **ats’ikshuta.** adj. enfriado(a), frío(a). **ats’u.** s. legaña; comida para chanchos (maíz molido que se cuece con restos de comida). **aats’a.** v. atorar, atascar; pegar, adherir",verbo
aats’ishi,"atorarse, atascarse; pegarse, adherirse. ***aatsts’a, aatsts’ishi*** **atyama** o **atyima.** v. avisar, informar; contar, narrar; s. informe, aviso; narración, cuento, relato; **atymiri** o **atyimkiri.** s. informante, narrador(a)",verbo
atyimshu,"informar todo, narrar todo; **atyimshkiri.** s. el /la/ que avisa todo, delator(a). **atyara.** s. trapo; adj. rotoso(a), andrajoso(a); viejo(a) (cosas); destartalado(a), en ruinas",verbo
atyarshuta,"rotoso(a), andrajoso(a), con roturas o desgarros (ropas u otras cosas). **atyuqshu.** s. caihua. **atyurunqu.** s. planta rastrera con hojas en forma de corazón. Sirve de alimento para las cabras. **aty’i.** v. escarbar, cavar (con herramienta)",adjetivo
aty’kata,"echar o arrojar tierra suavemente (con pala a una planta, o para aumentar altura de surco e impedir un rebose); dar lampada (no lampazo)",verbo
aty’waqa,"dar primera lampada, comenzar a trabajar con pala o lampa. **atrama.** s. ternerita, becerrito (hasta aprox. seis meses de edad). **atrki.** v. juntar leña",verbo
atrkpta,juntar mucha leña,verbo
atrkshu,"acabar ***de juntar*** la leña de un lugar. **atrma.** v. comer pasto pequeño como arrancando con los dientes; arrancar (vaca, cabra, burro, etc.) tallo(s) de maíz, hojas. ***atrmi **atrhi.** adj. mucho(s), mucha(s); cargado (río); adv. mucho, demasiado; más",verbo
atrhtraqa,"i. aumentar un poco, aumentar un poco más; adj. apreciable (sin ser mucho), más o menos abundante, ""regularcito(a)""; adv. apreciablemente (sin ser mucho), con más o menos abundancia",verbo
atrhshu,"i. aumentar; v. t. aumentar, añadir. **atr’trhatrha.** v. hacer hoyos; desenterrar",verbo
atr’uru,escarbar. **atr’i.** v. rascar,verbo
atr’ishi,rascarse,verbo
atr’pta,rascar en todo el cuerpo,verbo
atr’ptishi,rascarse en todo el cuerpo. **agustu.** s. agosto. **aja** o **aj.** intj. aj (expresa asco). **ajts’a.** adj. grande; alto(a); mayor,verbo
ajts’awt’a,agrandarse; ancharse,verbo
ajts’shuta,grandazo(a),adjetivo
ajts’shuya,"agrandar, alargar. **ajtrhi.** v. botar lo que se tiene en la boca, botar por la boca (no es vómito)",verbo
ajtrhu,"restos de comida que se tiene en la boca; esos restos, ya arrojados",sustantivo
ajtrhshu,arrojar lo que se tiene en la boca (no es vómito),verbo
ajtrhshqha,volver a arrojar lo que se tiene en la boca,verbo
ajtrhqhasa,(re)tener restos de comida en la boca. **ajru** (1) v. vomitar; s. vómito,verbo
ajrshu,"vomitar. **ajru** (2) v. escoger, seleccionar",verbo
ajrshu,"separar, seleccionar, escoger. **ajskiri.** p. e. en dirección de",verbo
akacha,"aquí cerca, acá cerca; esto no más; aquí está (al entregar algo); **akchatha.** adv. de aquí no más, de acá no más",adverbo
akapha,"por aquí, por acá",adverbo
akasupha,"por este lado, por este rincón",adverbo
akatha,"de acá, de aquí",adverbo
aktraqa,"cerca, acá cerca; v. acercarse (hacia acá); **aktraqatha.** adv. de cerca",adverbo
aktraqaya,t. acercar (hacia acá),verbo
aktraqt’a,"acercarse un poco más, un poquito más",verbo
akna,"aquí, acá",adverbo
akyaqa,"por acá a la vuelta. **aka** (2) p. e. toma, ten (al momento de entregar algo). **aktraqa** , **aktraqt’a** V. **aka** (1). **aki.** v. encontrar, hallar; contraer (enfermedad); conocer (a alguien por primera vez)",adverbo
akqha,"recuperar. **akisha.** adv. ahora, hoy",verbo
akishkama,"hasta ahora, hasta hoy",adverbo
akishkha,"ahora mismo, hoy mismo",adverbo
akishtaki,"para ahora, para hoy",adverbo
akishatha,"desde ahora, desde hoy",adverbo
akishuru,hoy todo el día,adverbo
akishurkha,hoy día mismo,adverbo
akishurutaki,"para hoy día, para ahora. **akna** V. **aka** (1). **aku.** s. harina (de granos secos), machca (harina de habas tostadas o de cereales tostados, que se puede comer sin más preparación); v. comer harina, comer machca",adverbo
akshu,"comer toda la harina o machca, terminar de comer la harina o machca",verbo
akuru,"comer una cucharada de harina o machca. **akha** V. **aka** (1). **akhllakhlla** V. **aru**. **akhama.** adv. así, de esta manera",verbo
akhmacha,así no más,adverbo
akhmatsa,hacer así; akhmatsma,verbo
akhukha,"tanto, tanto así (al responder); adj. tanto(a), tantos(as)",adverbo
akhukhacha,"así de poco, esto no más",adverbo
akhukhtraqa,"más o menos así, más o menos así de poco",adverbo
akhuwa,"aquí no más, aquí cerca. **akhmatsa** V. **akhama**. **akhukha** , **akhuwa** V. **akhama**. **ak’kha.** v. volver a golpear (de casualidad) parte dañada o adolorida del cuerpo. **ala.** v. comprar; **alata.** adj. comprado(a); **aliri** o **alkiri.** s. comprador(a)",adverbo
alishi,vender; **alishiri.** s. vendedor(a),verbo
alishqha,revender; **alishqhiri.** s. revendedor(a),verbo
alpta,comprar (de todo y en cantidad),verbo
alqha,volver a comprar,verbo
alayqha,"hacer volver a comprar (por ej., para que restituyan algo)",verbo
alshinushu,"lo que es para vender, lo que se puede vender. **alala.** intj. ?qué frío!",sustantivo
alalaw(a),?qué frío! (expresa algo más de intensidad que **alala** ). **álamu.** s. álamo. **alfa.** s. alfalfa,interjección
allqishi,"acariciarse (pareja de enamorados). **allu.** s. pene. **amacha.** v. defender; separar (a peleantes); **amachiri** o **amachkiri.** s. defensor(a), el /la/ que separa a peleantes. **amañikawa.** s. yerba cuyas hojas se usan para condimento. **amchi.** v. estornudar seguido, constantemente. **amigu.** s. amigo(a)",verbo
amigshu,"hacerse amigo(a), volverse amigo(a). **ámini.** s. tía (por parte de madre). **amit-ralladura.** s. ametralladora (ponemos guión para que las letras",verbo
amñja,entonces el próximo año,adverbo
amñkasa,ya el año entrante,adverbo
amñkha,"de una vez el próximo año. **ámpara.** s. mano; palmo, cuarta",adverbo
amparwishi,sin mano(s),adjetivo
amprani,"que tiene mano(s); s. persona que coge lo ajeno, ladrón(na). **ampi.** s. terreno cuadrangular o rectangular. **ampta.** s. cuesta, subida (viendo desde la parte llana); adv. después de, a partir de",adjetivo
amptaphru,"cuesta arriba. **ampulla.** v. empañar, envolver con pañal a criatura en la cuna para cargarla",adverbo
ampullt’a,"empañar, envolver en pañal(es). ***ampuña, ampuñt’a*** **amruchatyi** , **amrutsa** V. **amuru**. **amsqha.** v. recordar, soñar",verbo
amurshu,"i. mejorar de salud, sanar",verbo
amruwt’qha,"i. mejorar de salud, sanar",verbo
amrutsa,preparar el terreno para sembrar,verbo
amrutspta,poner el feto (manipulando el vientre de la parturienta) en buena posición para el parto,verbo
amruwt’aya,"t. mejorar de salud, hacer mejorar de salud",verbo
amurshuya,"t. mejorar, sanar. **amyu.** adj. no tan dulce, con poca azúcar. **anaku.** s. vestido de mujer, de los hombros hasta debajo del tobillo, de lana negra de alpaca, bajo el cual va una",verbo
antsatha,mucho; fuerte. **ants’a.** v. soltar,adverbo
_ants’shu._,"soltar, desatar; liberar, dejar libre",verbo
_ants’arpaya_,soltar o liberar (intencionalmente),verbo
_ants’kata._,"tirar con piedra, alcanzar con una pedrada.***ant’a, ant’shu, ant’arpaya, ant’kata*** **ants’uru** o **ant’uru.** v. meter",verbo
aniya,dejarse o hacerse fornicar; **anyiri** o **anaykiri.** s. la que se deja fornicar,verbo
anishi,"copular, hacer el amor",verbo
ankata,"copular, fornicar, realizar el acto sexual. V. **aykata** (en **aya** (1))",verbo
